# Inventario Export - Distribución Vertical
Alcance,Tipo,Componente,Unidad,Cantidad,Observación
Vertical,Cable,Cable Troncal Vertical,m,285,Por bloque
Vertical,Cable,Cable Riser Vertical,m,90,Por piso
Vertical,Conector,Conector F (Riser),uds.,60,En conexiones de Riser
Vertical,Conector,Conector F (Antena-Troncal),uds.,30,2 por tramo de cable
Vertical,Equipo,Repartidor Troncal,uds.,15,Ubicado en el troncal
Vertical,Equipo,Tap de Riser,uds.,12,Taps en el Riser
TOTAL,DISTRIBUCIÓN VERTICAL,Cable,Cable Troncal Vertical,m,285,
TOTAL,DISTRIBUCIÓN VERTICAL,Cable,Cable Riser Vertical,m,90,
TOTAL,DISTRIBUCIÓN VERTICAL,Conector,Conector F (Riser),uds.,60,
TOTAL,DISTRIBUCIÓN VERTICAL,Conector,Conector F (Antena-Troncal),uds.,30,
TOTAL,DISTRIBUCIÓN VERTICAL,Equipo,Repartidor Troncal,uds.,15,
TOTAL,DISTRIBUCIÓN VERTICAL,Equipo,Tap de Riser,uds.,12,

# Inventario Export - Distribución Horizontal
Piso,Alcance,Tipo,Componente,Unidad,Cantidad,Observación
1,Horizontal,Cable,Cable Horizontal por Piso,m,36,Por piso
1,Horizontal,Conector,Conector F (Feeder),uds.,6,2 por tramo de cable
1,Horizontal,Equipo,Derivador de Piso,uds.,3,Ubicado en el piso
SUBTOTAL PISO 1,Horizontal,Cable,Cable Horizontal por Piso,m,36,
SUBTOTAL PISO 1,Horizontal,Conector,Conector F (Feeder),uds.,6,
SUBTOTAL PISO 1,Horizontal,Equipo,Derivador de Piso,uds.,3,

2,Horizontal,Cable,Cable Horizontal por Piso,m,36,Por piso
2,Horizontal,Conector,Conector F (Feeder),uds.,6,2 por tramo de cable
2,Horizontal,Equipo,Derivador de Piso,uds.,3,Ubicado en el piso
SUBTOTAL PISO 2,Horizontal,Cable,Cable Horizontal por Piso,m,36,
SUBTOTAL PISO 2,Horizontal,Conector,Conector F (Feeder),uds.,6,
SUBTOTAL PISO 2,Horizontal,Equipo,Derivador de Piso,uds.,3,

3,Horizontal,Cable,Cable Horizontal por Piso,m,36,Por piso
3,Horizontal,Conector,Conector F (Feeder),uds.,6,2 por tramo de cable
3,Horizontal,Equipo,Derivador de Piso,uds.,3,Ubicado en el piso
SUBTOTAL PISO 3,Horizontal,Cable,Cable Horizontal por Piso,m,36,
SUBTOTAL PISO 3,Horizontal,Conector,Conector F (Feeder),uds.,6,
SUBTOTAL PISO 3,Horizontal,Equipo,Derivador de Piso,uds.,3,

4,Horizontal,Cable,Cable Horizontal por Piso,m,36,Por piso
4,Horizontal,Conector,Conector F (Feeder),uds.,6,2 por tramo de cable
4,Horizontal,Equipo,Derivador de Piso,uds.,3,Ubicado en el piso
SUBTOTAL PISO 4,Horizontal,Cable,Cable Horizontal por Piso,m,36,
SUBTOTAL PISO 4,Horizontal,Conector,Conector F (Feeder),uds.,6,
SUBTOTAL PISO 4,Horizontal,Equipo,Derivador de Piso,uds.,3,

5,Horizontal,Cable,Cable Horizontal por Piso,m,36,Por piso
5,Horizontal,Conector,Conector F (Feeder),uds.,6,2 por tramo de cable
5,Horizontal,Equipo,Derivador de Piso,uds.,3,Ubicado en el piso
SUBTOTAL PISO 5,Horizontal,Cable,Cable Horizontal por Piso,m,36,
SUBTOTAL PISO 5,Horizontal,Conector,Conector F (Feeder),uds.,6,
SUBTOTAL PISO 5,Horizontal,Equipo,Derivador de Piso,uds.,3,

TOTAL,DISTRIBUCIÓN HORIZONTAL,Cable,Cable Horizontal por Piso,m,180,
TOTAL,DISTRIBUCIÓN HORIZONTAL,Conector,Conector F (Feeder),uds.,30,
TOTAL,DISTRIBUCIÓN HORIZONTAL,Equipo,Derivador de Piso,uds.,15,

# Inventario Export - Interior Apartamento
Piso,Apto,Alcance,Tipo,Componente,Unidad,Cantidad,Observación
1,1,Apartamento,Cable,Cable Interior Apartamento,m,11.17,Desde el repartidor hasta la toma
1,1,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
1,1,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
1,1,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
1,1,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
1,2,Apartamento,Cable,Cable Interior Apartamento,m,10.99,Desde el repartidor hasta la toma
1,2,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
1,2,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
1,2,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
1,2,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
1,3,Apartamento,Cable,Cable Interior Apartamento,m,11.26,Desde el repartidor hasta la toma
1,3,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
1,3,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
1,3,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
1,3,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
2,1,Apartamento,Cable,Cable Interior Apartamento,m,12.83,Desde el repartidor hasta la toma
2,1,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
2,1,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
2,1,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
2,1,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
2,2,Apartamento,Cable,Cable Interior Apartamento,m,13.15,Desde el repartidor hasta la toma
2,2,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
2,2,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
2,2,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
2,2,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
2,3,Apartamento,Cable,Cable Interior Apartamento,m,13.3,Desde el repartidor hasta la toma
2,3,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
2,3,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
2,3,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
2,3,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
3,1,Apartamento,Cable,Cable Interior Apartamento,m,14.77,Desde el repartidor hasta la toma
3,1,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
3,1,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
3,1,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
3,1,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
3,2,Apartamento,Cable,Cable Interior Apartamento,m,15.04,Desde el repartidor hasta la toma
3,2,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
3,2,Apartamento,Conector,Conector F (Apto Rep-TU),uds.,2,2 por tramo de cable
3,2,Apartamento,Conector,Conector F (Conexión TU),uds.,1,En la conexión final a la Toma de Usuario
3,2,Apartamento,Equipo,Toma de Usuario (TU),uds.,1,Punto de conexión final
3,3,Apartamento,Cable,Cable Interior Apartamento,m,14.39,Desde el repartidor hasta la toma
3,3,Apartamento,Conector,Conector F (Apto Deriv-Rep),uds.,2,2 por tramo de cable
